config,seed,teste,f1_macro,accuracy,f1_negativo,f1_positivo,contribuidor
C1,13,T1,0.9466396439709718,0.946641791044776,0.9469781238413052,0.9463011641006384,geovanna
C1,13,T2,0.9207807700952426,0.9208955223880596,0.9177657098525988,0.9237958303378864,geovanna
C1,13,T3,0.957450150996813,0.9574626865671642,0.9567198177676538,0.958180484225972,geovanna
C1,13,T4,0.9499618499513164,0.95,0.9485801995395242,0.9513435003631082,geovanna
C1,13,T5,0.903320398056101,0.903358208955224,0.9014084507042254,0.9052323454079766,geovanna
C1,13,T6,0.903320398056101,0.903358208955224,0.9014084507042254,0.9052323454079766,geovanna
C1,13,T7,0.903320398056101,0.903358208955224,0.9014084507042254,0.9052323454079766,geovanna
C1,888,T1,0.9350277322014552,0.9350746268656716,0.9367732558139537,0.933282208588957,geovanna
C1,888,T2,0.9123016988656452,0.9123134328358208,0.9133161195130948,0.9112872782181956,geovanna
C1,888,T3,0.95932708406576,0.9593283582089552,0.9590994371482175,0.9595547309833024,geovanna
C1,888,T4,0.9582066276803118,0.9582089552238806,0.9578947368421052,0.9585185185185184,geovanna
C1,888,T5,0.8818447004513139,0.8820895522388059,0.8764659890539483,0.8872234118486795,geovanna
C1,888,T6,0.8818447004513139,0.8820895522388059,0.8764659890539483,0.8872234118486795,geovanna
C1,888,T7,0.8818447004513139,0.8820895522388059,0.8764659890539483,0.8872234118486795,geovanna
C1,1234,T1,0.941037387732368,0.941044776119403,0.940377358490566,0.9416974169741698,pedro
C1,1234,T2,0.9086376741615294,0.908955223880597,0.9032513877874704,0.9140239605355884,pedro
C1,1234,T3,0.9537032651234794,0.953731343283582,0.9525631216526396,0.954843408594319,pedro
C1,1234,T4,0.9480796133037838,0.948134328358209,0.9463941380640184,0.949765088543549,pedro
C1,1234,T5,0.8611720803874469,0.8623134328358208,0.8485843249897415,0.8737598357851523,pedro
C1,1234,T6,0.8611720803874469,0.8623134328358208,0.8485843249897415,0.8737598357851523,pedro
C1,1234,T7,0.8611720803874469,0.8623134328358208,0.8485843249897415,0.8737598357851523,pedro
C1,2718,T1,0.9436565203014324,0.9436567164179104,0.9435514018691588,0.9437616387337058,sebastiao
C1,2718,T2,0.9177616437851738,0.917910447761194,0.9142634450506624,0.9212598425196852,sebastiao
C1,2718,T3,0.9525933998190148,0.9526119402985076,0.951655881233346,0.9535309184046836,sebastiao
C1,2718,T4,0.9499618499513164,0.95,0.9485801995395242,0.9513435003631082,sebastiao
C1,2718,T5,0.8675234985312674,0.8682835820895523,0.8574888978603149,0.8775580992022199,sebastiao
C1,2718,T6,0.8675234985312674,0.8682835820895523,0.8574888978603149,0.8775580992022199,sebastiao
C1,2718,T7,0.8675234985312674,0.8682835820895523,0.8574888978603149,0.8775580992022199,sebastiao
C1,4242,T1,0.9455114332966252,0.9455223880597016,0.9462840323767476,0.9447388342165026,sebastiao
C1,4242,T2,0.9242144689851712,0.9242537313432836,0.9224894998090876,0.925939438161255,sebastiao
C1,4242,T3,0.9552028991079023,0.9552238805970148,0.954233409610984,0.956172388604821,sebastiao
C1,4242,T4,0.9507023411371238,0.9507462686567164,0.9492307692307692,0.9521739130434784,sebastiao
C1,4242,T5,0.8802415947082871,0.8805970149253731,0.8737174427782163,0.886765746638358,sebastiao
C1,4242,T6,0.8802415947082871,0.8805970149253731,0.8737174427782163,0.886765746638358,sebastiao
C1,4242,T7,0.8802415947082871,0.8805970149253731,0.8737174427782163,0.886765746638358,sebastiao
C1,5678,T1,0.9380149629048368,0.9380597014925374,0.9396802325581396,0.9363496932515336,pedro
C1,5678,T2,0.926491298931718,0.9264925373134328,0.9267930137495356,0.9261895841139004,pedro
C1,5678,T3,0.9567109935250296,0.9567164179104478,0.9562264150943396,0.9571955719557196,pedro
C1,5678,T4,0.9540926594630412,0.9541044776119404,0.9533560864618884,0.954829232464194,pedro
C1,5678,T5,0.8977360779741516,0.8977611940298508,0.8961334344200151,0.899338721528288,pedro
C1,5678,T6,0.8977360779741516,0.8977611940298508,0.8961334344200151,0.899338721528288,pedro
C1,5678,T7,0.8977360779741516,0.8977611940298508,0.8961334344200151,0.899338721528288,pedro
C1,9001,T1,0.9373084052185072,0.9373134328358208,0.9367469879518072,0.9378698224852072,sebastiao
C1,9001,T2,0.9116485655743428,0.9119402985074628,0.906571654790182,0.916725476358504,sebastiao
C1,9001,T3,0.9514492753623188,0.9514925373134328,0.95,0.9528985507246376,sebastiao
C1,9001,T4,0.9416998411973286,0.9417910447761194,0.9393939393939394,0.9440057430007178,sebastiao
