config,seed,teste,f1_macro,accuracy,f1_negativo,f1_positivo
C1,1234,T1,0.941037387732368,0.941044776119403,0.940377358490566,0.9416974169741698
C1,1234,T2,0.9086376741615294,0.908955223880597,0.9032513877874704,0.9140239605355884
C1,1234,T3,0.9537032651234794,0.953731343283582,0.9525631216526396,0.954843408594319
C1,1234,T4,0.9480796133037838,0.948134328358209,0.9463941380640184,0.949765088543549
C1,1234,T5,0.8611720803874469,0.8623134328358208,0.8485843249897415,0.8737598357851523
C1,1234,T6,0.8611720803874469,0.8623134328358208,0.8485843249897415,0.8737598357851523
C1,1234,T7,0.8611720803874469,0.8623134328358208,0.8485843249897415,0.8737598357851523
C1,5678,T1,0.9380149629048368,0.9380597014925374,0.9396802325581396,0.9363496932515336
C1,5678,T2,0.926491298931718,0.9264925373134328,0.9267930137495356,0.9261895841139004
C1,5678,T3,0.9567109935250296,0.9567164179104478,0.9562264150943396,0.9571955719557196
C1,5678,T4,0.9540926594630412,0.9541044776119404,0.9533560864618884,0.954829232464194
C1,5678,T5,0.8977360779741516,0.8977611940298508,0.8961334344200151,0.899338721528288
C1,5678,T6,0.8977360779741516,0.8977611940298508,0.8961334344200151,0.899338721528288
C1,5678,T7,0.8977360779741516,0.8977611940298508,0.8961334344200151,0.899338721528288
C1,91011,T1,0.942163977792861,0.9421641791044776,0.9422718808193667,0.9420560747663552
C1,91011,T2,0.9174421277372176,0.9175373134328358,0.9146388567014292,0.9202453987730062
C1,91011,T3,0.9552118080391464,0.9552238805970148,0.9544764795144158,0.9559471365638766
C1,91011,T4,0.9473511078378553,0.9473880597014924,0.9459563050977386,0.9487459105779716
C1,91011,T5,0.8957805856007105,0.8958955223880597,0.8923195677344654,0.8992416034669556
C1,91011,T6,0.8957805856007105,0.8958955223880597,0.8923195677344654,0.8992416034669556
C1,91011,T7,0.8957805856007105,0.8958955223880597,0.8923195677344654,0.8992416034669556
C2,1234,T1,0.925353013398577,0.9253731343283582,0.9265785609397944,0.9241274658573596
C2,1234,T2,0.9167420688406176,0.9167910447761194,0.9147227533460804,0.9187613843351548
C2,1234,T3,0.9514682119574304,0.9514925373134328,0.950381679389313,0.9525547445255474
C2,1234,T4,0.9495953627733752,0.9496268656716418,0.9483352468427096,0.9508554787040407
C2,1234,T5,0.884408183775522,0.8847014925373134,0.8785854616895874,0.8902309058614565
C2,1234,T6,0.884408183775522,0.8847014925373134,0.8785854616895874,0.8902309058614565
C2,1234,T7,0.884408183775522,0.8847014925373134,0.8785854616895874,0.8902309058614565
C2,5678,T1,0.938801846192576,0.9388059701492536,0.9393042190969652,0.9382994732881866
