config,seed,teste,f1_macro,accuracy,f1_negativo,f1_positivo
C1,13,T1,0.9466396439709718,0.946641791044776,0.9469781238413052,0.9463011641006384
C1,13,T2,0.9207807700952426,0.9208955223880596,0.9177657098525988,0.9237958303378864
C1,13,T3,0.957450150996813,0.9574626865671642,0.9567198177676538,0.958180484225972
C1,13,T4,0.9499618499513164,0.95,0.9485801995395242,0.9513435003631082
C1,13,T5,0.903320398056101,0.903358208955224,0.9014084507042254,0.9052323454079766
C1,13,T6,0.903320398056101,0.903358208955224,0.9014084507042254,0.9052323454079766
C1,13,T7,0.903320398056101,0.903358208955224,0.9014084507042254,0.9052323454079766
C1,888,T1,0.9350277322014553,0.9350746268656717,0.9367732558139535,0.933282208588957
C1,888,T2,0.9123016988656452,0.9123134328358209,0.9133161195130948,0.9112872782181956
C1,888,T3,0.9593270840657601,0.9593283582089552,0.9590994371482177,0.9595547309833025
C1,888,T4,0.9582066276803118,0.9582089552238806,0.9578947368421052,0.9585185185185185
C1,888,T5,0.8818447004513139,0.8820895522388059,0.8764659890539483,0.8872234118486795
C1,888,T6,0.8818447004513139,0.8820895522388059,0.8764659890539483,0.8872234118486795
C1,888,T7,0.8818447004513139,0.8820895522388059,0.8764659890539483,0.8872234118486795
